# class coastal green red blue red_edge1 red_edge2 red_edge3 swir1 swir2 NDVI LAI MNDWI
1 673.5 1208 1647 915 2408 2112.5 2278.5 4179.5 3308 0.18767 0.328167 -0.551555 
1 981 1516 2008 1194 2922 2601 2841 5052 4259 0.185396 0.398212 -0.538368 
1 819 1333 1786 1012 2503 2348.5 2500 3845 2959.5 0.167172 0.296951 -0.485129 
1 516 1038 1584 739 2220 1864 2025 4641 3974 0.167192 0.237506 -0.634443 
1 727 1260 1712 950 2216 1917 2012 3949 3199 0.12831 0.178731 -0.516222 
1 752 1450 2040 1064 2624 2384 2553 4422 3626 0.125214 0.194857 -0.506131 
1 432 1106 1778 672 2384 2102 2266 4817 3926 0.145603 0.186312 -0.626541 
1 729 1293 1690 872.5 2613 2350.5 2526 3791.5 3160.5 0.214502 0.397048 -0.491395 
1 628 1032.5 1465 791 2195 1843 2024.5 4186.5 3393.5 0.199454 0.320655 -0.60433 
1 724 847 1170.5 701.5 1616 1693.5 1942.5 3397.5 3267 0.159878 0.183213 -0.600895 
1 494 1192 1714 822 2764 2369 2540 4588 3591 0.23448 0.444533 -0.587543 
1 786 1230 1686 977 2348 2015.5 2169 4353 3706 0.164105 0.277586 -0.559377 
1 692 1295 1830 909.5 2293 2102 2229 3635 2729.5 0.112297 0.136553 -0.474645 
1 777 1421 1885 1044 2704 2290.5 2426.5 4036 3088.5 0.17847 0.339727 -0.479201 
1 712 1300 1708 1050 2314 2031 2166 3954 3336 0.150671 0.255205 -0.505139 
1 744 1331 1873 872.5 2512 2280.5 2434 4795 3886 0.145724 0.21791 -0.565459 
1 643 1056 1344 742 2406 2257 2386 3575 2516 0.2832 0.526468 -0.543943 
1 852.5 1481 1984 1062 2589 2345.5 2536 4552 3884.5 0.132298 0.213088 -0.509034 
1 730 1276 1679 968 2167 1981.5 2104.5 3701 3085 0.126885 0.176637 -0.487241 
1 713 1473 2149 1036.5 2822 2562 2685.5 4137.5 3067 0.135385 0.221271 -0.474913 
1 1242 1790 2340 1266 3218 2786 2988 4149 3200 0.157971 0.329082 -0.397205 
1 580 1428 2014 957 2632 2291 2366 3570 2558 0.133018 0.200717 -0.428571 
1 536 1024 1360 728 1892 1643 1776 4066 3676 0.163592 0.211766 -0.597642 
1 765.5 1874 2558 1351 3332 3092 3252 4458.5 3134.5 0.131409 0.259454 -0.408133 
1 779 1449 1994 1044.5 2511 2304 2445 3747.5 2858 0.114761 0.163004 -0.442317 
1 674 1312 1828 968 2442 2089 2269 3950 3322 0.143794 0.225878 -0.50133 
1 1180 1617 2001 1134 2744 2675.5 2897 4769 4085.5 0.156586 0.295692 -0.49358 
1 554.5 1253 1665 860 2200 1945 2041.5 4017 3376 0.138422 0.189438 -0.524478 
1 806 1092 1626 732 2086 1951 2128 3890 3429 0.123922 0.136446 -0.561622 
1 719 1356 1714 1002 2700 2418 2573 4195 3441 0.22338 0.458532 -0.511439 
1 864 1370 1870 1064 2524 2299 2411 3879 3010 0.148839 0.257249 -0.477996 
1 747 1378 1812 993 2308 2181 2294 3979 3232 0.120388 0.167163 -0.485533 
1 940 1478 1920 1136 3006 2593 2779 4794 3902 0.220463 0.495699 -0.528699 
1 1073 1606 2096 1238 2754 2464 2636 4606 3885 0.13567 0.252932 -0.482936 
1 648 1206 1746 819 2250 2092 2211 3498 2819 0.126126 0.156892 -0.487245 
1 788 1638 2180 1258 2854 2454 2635 4614 3879 0.13389 0.251497 -0.476008 
1 526 1194 1785 837 2551 2066.5 2329 4361.5 3520 0.176661 0.289953 -0.570156 
1 776 1372 1830 1054 2420 2198 2326 4082 3236 0.138824 0.226405 -0.496883 
1 1033 1648 2204 1212 2814 2538 2682 4675 4053 0.121562 0.207552 -0.478728 
1 633 1152 1648 786 2322 2100 2242 3899 2907 0.169773 0.255664 -0.543853 
1 987.5 1478 1913 1183 2828 2616.5 2794 4858.5 3855 0.192997 0.418247 -0.533496 
1 619 1126 1495 755.5 2177 1911.5 2095 4385 3551.5 0.18573 0.280475 -0.591363 
1 378 868 1472 505 1976 1846 1984 3583 3106 0.146172 0.149835 -0.609975 
1 1090 1992 2627 1481 3409 3065.5 3254.5 5005 3880 0.129556 0.273574 -0.430613 
1 798 1334 1727 1080 2287 1989 2153 4025.5 3626.5 0.139512 0.230148 -0.502192 
1 907 1742 2432 1316 3276 2871 3079 4648 3465 0.147863 0.306157 -0.454773 
1 793 1383 1940 1035 2748 2407 2596.5 5257 4362.5 0.172355 0.321587 -0.583434 
1 707 1366 1914 909 2544 2389 2460 3535 2436 0.141319 0.213097 -0.442563 
1 1079 1643 1960 1360 2821 2516.5 2709.5 4614.5 4213 0.180088 0.42353 -0.47487 
1 1216 1826 2148 1512 3244 2892 3129 4793 4359 0.203264 0.552181 -0.448255 
1 696.5 1240 1642 958 2465 2157 2315 4082 3296.5 0.20039 0.37394 -0.53401 
1 665 1080 1626 810.5 2383 2261.5 2463.5 3950 2814 0.188825 0.308336 -0.570576 
1 614 1089.5 1532 795 2166 1947.5 2125.5 3553.5 2997.5 0.171444 0.254481 -0.530691 
1 586 1206 1646 886 2778 2443 2632 4263 3337 0.255877 0.521574 -0.558969 
1 778.5 1319 1755 1050 2629 2255.5 2432.5 4563 3716 0.199361 0.399229 -0.551513 
1 613.5 1111 1548 826.5 2174 1865.5 2016.5 3866 3112.5 0.168189 0.252968 -0.553546 
1 603 1386 1892 974 2578 2262 2452 4488 3479 0.153468 0.255225 -0.52809 
1 700 1316 1770 872 2302 2099 2258 3997 3243 0.130648 0.175733 -0.504611 
1 673.5 1238 1997 870.5 2559 2274.5 2427 4220.5 3707 0.123354 0.164213 -0.546396 
1 621.5 1166 1632 864 2196 2000 2159.5 4057 3073.5 0.147335 0.210952 -0.553513 
1 640 1124 1514 816 2072 1800 1931 3641 3001 0.155605 0.217668 -0.528227 
1 538 996 1478 662 1934 1691 1786 2892 2514 0.133646 0.142436 -0.487654 
1 508 1020 1388 773 1978 1768 1916 3733 2981 0.175282 0.249822 -0.570797 
1 700.5 852.5 1093.5 678 1958 1822 1970 3374 2635 0.283303 0.464061 -0.596593 
1 632 1370 1950 974 2699 2295.5 2512.5 4062 3139.5 0.16111 0.278321 -0.495582 
1 756 1379 1871 1027.5 2455 2164 2324 3729 2879.5 0.134998 0.212664 -0.460063 
1 833.5 1463 1943 1081 2506 2317 2475 4194 3391 0.126545 0.199151 -0.482765 
1 832.5 1309.5 1465 1228.5 2050 1769 1861 3204 2651.5 0.16643 0.337119 -0.419741 
1 804 1344 1732 1056 2432 2201 2357 4022 3488 0.168108 0.306819 -0.499068 
1 727.5 1484 2083 1066 2590 2409 2491 3817.5 2947.5 0.108496 0.150286 -0.440158 
1 642.5 1247 1757 824 2491 2394.5 2535 4160 3294.5 0.172787 0.275938 -0.538746 
1 782 1500 1952 1062 2388 2193 2288 3987 3360 0.100461 0.126414 -0.453253 
1 590 1352 1946 901 2636 2373 2536 4314 3401 0.150589 0.237524 -0.522767 
1 718 1244 1792 872 2348 2194 2320 3864 2936 0.1343 0.185685 -0.512921 
1 719.5 1296 1846 916 2443 2416.5 2556 3835.5 2980.5 0.139193 0.206336 -0.494885 
1 702 1430 2126 888 2834 2594 2797 5511 4524 0.142742 0.220292 -0.587956 
1 956.5 1836 2489 1227 3198 2927.5 3089.5 5395.5 4585 0.12467 0.220778 -0.492222 
1 595 1278 1788 841 2200 2054 2129 3983 3078 0.10331 0.106213 -0.514161 
1 628 1316 1930 897 2686 2360 2550 4247 3386 0.163778 0.271886 -0.526874 
1 838.5 1547 1971 1148 2818 2569 2739 4212.5 2999 0.176864 0.359804 -0.462801 
1 689.5 1177 1541 823.5 1989 1864 1971 3898.5 3328.5 0.126912 0.15109 -0.536203 
1 749 1394 1920 1078 2728 2418 2568 4425 3274 0.173838 0.334166 -0.52088 
1 765 1211 1599 904.5 2410 2168 2305.5 3606.5 2740 0.202295 0.363956 -0.49725 
1 700 1442 1960 1056 2670 2298 2522 4517 3702 0.153348 0.270973 -0.516026 
1 666 1198 1644 830 2158 1811 1937 3142 2819 0.135192 0.176305 -0.447926 
1 1200.5 1726 2236 1366 3179 2808 2980 4989 4281 0.174146 0.403678 -0.485927 
1 1063 1440 1897 1163 2404 2150.5 2292 4439.5 3659.5 0.11788 0.186432 -0.510162 
