# class coastal green red blue red_edge1 red_edge2 red_edge3 swir1 swir2 NDVI LAI MNDWI
0 805 1826 2120 1630 2984 2302 2490 3350 2952 0.169279 0.461782 -0.294436 
0 383 874 1130 541.5 2756 2473.5 2733.5 2852 2210.5 0.418425 0.832398 -0.530864 
0 374 702 1300 440.5 1824 1941.5 1968 2498.5 2243 0.167734 0.172411 -0.561319 
0 166 666 491.5 347 2511 2127 2439 2141.5 1201 0.672606 1.302679 -0.525557 
0 218.5 605 816 347.5 1886 1823.5 1942 2083.5 1375 0.396003 0.564726 -0.549935 
0 350.5 1051 613 488 4053 3613.5 4064 2495.5 1272 0.737248 2.093271 -0.407303 
0 1315 1578 1454 1678 2112 1606 1647 1729 1309 0.18452 0.60332 -0.045661 
0 365 1198 1852 709 2994 2504 2736 3653 2951 0.235658 0.431772 -0.506081 
0 56 437.5 833.5 236.5 1552 1195 1267 2076.5 1651 0.301195 0.321727 -0.651949 
0 420 1040 1214 791 2196 2069 2333 3385 2602 0.287977 0.537633 -0.529943 
0 637 1608 2964 854 3630 3776 3835 4980 4170 0.101001 0.122872 -0.51184 
0 303.5 684.5 906.5 504 2141 1845 2090.5 3141.5 2139 0.405086 0.691134 -0.642185 
0 277.5 643.5 981 415 1563 1537 1611 2203 1709.5 0.228774 0.249188 -0.547866 
0 245 765 1364 437 1982 1870 1956 2946 2495 0.184698 0.212983 -0.587712 
0 304 791.5 1640 433 2070 2184.5 2245.5 3857.5 3107 0.115903 0.090405 -0.659497 
0 391 885 1568 530 2008 1882 1985 3454 3070 0.123043 0.110186 -0.592072 
0 29 276 437 122 1710 1421 1633 1635 1086 0.59292 0.740186 -0.711146 
0 484 912.5 1093 596 2325 2279 2487 2777 2063.5 0.360445 0.655152 -0.505353 
0 214 504 642 273.5 1357 1165.5 1307 2135.5 1489 0.357679 0.373511 -0.61811 
0 44 463 1079 246.5 1552 1467 1551 2398.5 2108 0.17978 0.146463 -0.676393 
0 423.5 984 2005 593.5 2696 2929.5 2988.5 4127.5 3657 0.14699 0.19027 -0.614986 
0 233 669 1272 350.5 1847 1748.5 1864 3249.5 2600.5 0.184354 0.190653 -0.658543 
0 310.5 910 1566 512 2144 2022 2127 2966.5 2490 0.155795 0.177368 -0.530504 
0 337.5 933.5 1302 569.5 2463 2237.5 2491 3430 2796 0.308367 0.538174 -0.572132 
0 379 1194 2006 678 3348 3246 3487 4529 3970 0.250654 0.47998 -0.582736 
0 299.5 662 1401 367.5 2080 2001.5 2082 2853.5 2620 0.195059 0.228398 -0.623382 
0 326 737 929 412 1798 1554 1736 3029 2261 0.318665 0.43235 -0.608603 
0 206 624 1253 333.5 1895 1915.5 2032.5 2864.5 2380.5 0.203939 0.225364 -0.642253 
0 194 586 1136 300 1938 1752 1912 3107 2646 0.260898 0.321535 -0.682643 
0 305.5 709.5 1351 419.5 1998 1846 1956.5 3070.5 2704 0.193192 0.2271 -0.624603 
0 336 944.5 2149 529 2720 2747.5 2825.5 4000.5 3533.5 0.117273 0.120593 -0.617998 
0 481 1068 1624 707 2514 2198 2384 3739 2897 0.21508 0.356775 -0.555648 
0 434.5 1136 2716 629.5 3374 3310 3417.5 4759 4443.5 0.108046 0.120553 -0.614589 
0 245 705 1396 437 1684 1724 1729 2697 2398 0.093507 0.037219 -0.585538 
0 212 651 1432 338 1808 1904 1946 3595 2891 0.116049 0.072368 -0.693358 
0 388 1019 1340 584 2618 2356 2505 3537 2650 0.32289 0.592131 -0.552678 
0 349.5 672 852 445 1457 1321.5 1430.5 2591 1720.5 0.262018 0.295576 -0.588109 
0 368 988 1760 542 2412 2287 2428 3970 3231 0.15628 0.193913 -0.601452 
0 344 862 1524 508 2060 1867 1997 3954 3090 0.149554 0.160724 -0.642027 
0 731 1819 3294 981 4035 3689 3799 5395 4642.5 0.101105 0.135478 -0.495703 
0 249 571 1152 291 2066 1887.5 2026.5 3475 2730 0.284027 0.374223 -0.717746 
0 565 887 1100 633 2364 2243 2459 2724 1987 0.364896 0.686198 -0.508723 
0 236 604 1428 309 1614 1746 1771 2439 2136 0.061144 -0.023826 -0.603023 
0 715 1396 2166 824 2608 2512 2529 3405 2906 0.092585 0.087822 -0.418455 
0 296 409 824 341 1522 1225 1374 2605 2192 0.297528 0.335925 -0.7286 
0 360 792 1440 439 1932 2014 2113 2942 2542 0.145908 0.139539 -0.57579 
0 589.5 1195 1707 812 2743 2392 2618 3574.5 2934 0.232809 0.436639 -0.498899 
0 414.5 1074 1887 598 2485 2301 2434 4031.5 3214 0.13678 0.161935 -0.579277 
0 836 1418 1406 987 2110 1811 1938 2680 1894 0.200228 0.366474 -0.307955 
0 440.5 985 1170 610.5 2423 2278 2451.5 3106 2200 0.348734 0.644459 -0.518455 
0 308 935 932 476 3032 2587 2882 2441 1595 0.529768 1.143758 -0.44609 
0 234.5 865 1196 498 1850 1459.5 1654.5 2638 1883 0.214708 0.268857 -0.506138 
0 477.5 1370 2345 703 3068 3010 3137.5 4145 3603 0.133567 0.18108 -0.503173 
0 361 714 749 469 1692 1265 1455 1888 1286 0.386317 0.555279 -0.451191 
0 548 1330 2554 800 3088 3201 3284 5004 4128 0.094647 0.097511 -0.580044 
0 292 881 2114 460 2544 2678 2762 4030 3567 0.092314 0.060591 -0.641214 
0 688 1112 1876 784.5 2080 2141 2199.5 2423 2268 0.051567 -0.012273 -0.370863 
0 166 670 1694 380 2428 2285 2394 3161 2791 0.178069 0.21829 -0.650222 
0 310 650 887 429 1826 1623 1720 2757 2201 0.346111 0.491688 -0.618433 
0 240 652 1338 387.5 1930 1939 1975.5 3158 2784.5 0.181151 0.196023 -0.657743 
0 227 876 1672 477 2400 2083 2225 3694 3260 0.178782 0.231241 -0.61663 
0 462 1122 1754 656 2158 2116 2214 3634 3122 0.103272 0.08773 -0.528175 
0 315.5 847.5 1749 464.5 2583 2265 2416 3926.5 3235.5 0.192521 0.267007 -0.644952 
0 520 1040 1808 592 2990 2495 2827 3437 2676 0.246353 0.433149 -0.535403 
0 556 1542 2930 868 3688 3437 3570 4780 4005 0.114536 0.158925 -0.51218 
0 534 1388 2652 813 3320 3020 3059 4755 4101 0.111855 0.143171 -0.548104 
0 688 1566 2928 885 3450 3468 3561 5435 4880 0.081844 0.075658 -0.552635 
0 299 668.5 1424 402.5 1908 1877.5 1970 3535 3127.5 0.145258 0.133117 -0.681932 
0 147 329 461 199 1032 849 955 1916 1329 0.382451 0.301706 -0.706904 
0 38 350 470 189 1204 1061 1165 1821 1270 0.438471 0.408635 -0.677568 
0 661 1387 1371 929.5 3694 3290 3667.5 3270.5 2357.5 0.458638 1.287571 -0.404402 
0 114.5 527 895.5 301.5 1949 1666.5 1871 2468 1848.5 0.370364 0.514698 -0.64808 
0 158 544.5 1282 296 1408 1534.5 1571.5 2234 2109 0.04684 -0.050484 -0.608062 
0 414 934.5 1682 574 2094 1935 2013 3303.5 3360 0.10911 0.090408 -0.55899 
0 2417 1536 1380 1762 2172 2084 2124 2242 1736 0.222973 0.871863 -0.186871 
0 181.5 612.5 881.5 430 1636 1489 1642.5 2589 2049 0.299702 0.380135 -0.617367 
0 277 622 973.5 402.5 1386 1461 1570.5 2370.5 1759 0.174825 0.144598 -0.584294 
0 384 828 938 478 2810 2792 3068 3615 2903 0.499466 1.021988 -0.627279 
0 331 960 1564 588 2170 2237 2324 3147 2677 0.162292 0.201719 -0.532505 
0 417 1078 1814 680 2468 2214 2322 4052 3398 0.152732 0.206098 -0.579727 
0 350.5 1003.5 1662 663.5 1965 1856 1932 2344.5 1806.5 0.08354 0.043587 -0.400538 
0 246 719 941 387 2620 2293.5 2577 2901 2111.5 0.471497 0.870483 -0.602762 
0 379 982 1960 541 3094 2990 3144 3874 3265 0.224377 0.375209 -0.595552 
0 350.5 874 1326 663.5 2116 1707.5 1873.5 3016.5 2441.5 0.229518 0.355349 -0.5507 
0 598 1665 2795 1031 3257 2912 3066 4275.5 3534.5 0.076338 0.069436 -0.439441 
0 320 871 1462 537 2383 1973 2123 3476 2849 0.239532 0.368378 -0.599264 
0 266 778 1644 393 2258 2126 2224 3339 2693 0.157355 0.171636 -0.622055 
0 290 715 1664 379 2032 2065.5 2160 4038.5 3089 0.099567 0.055602 -0.699169 
0 915 1866 2458 1510 3208 2823 2997 5160 4604 0.132369 0.289898 -0.46883 
0 432 1242 2192 712 2764 2592 2707 4028 3496 0.115416 0.133445 -0.528653 
0 281 658 1172 338 2417 2160.5 2349.5 3511 2619 0.346893 0.547781 -0.684337 
0 157.5 482 1077 242.5 1583 1742.5 1860 2269 2008.5 0.190226 0.16406 -0.649582 
0 681.5 1332 1728 892.5 2125 2041.5 2139.5 3729 3146.5 0.103037 0.109281 -0.473622 
0 362 750 1186 477.5 1952 1715 1867.5 2841.5 2376.5 0.244104 0.32938 -0.582347 
0 250 585 1078 332 1614 1589 1662 2320 1954 0.199108 0.192936 -0.597246 
0 168 470 947 266 1548 1287.5 1430.5 2444.5 2059 0.240882 0.238813 -0.677475 
0 197 675 1528 401 2070 2114 2204 3031 2805 0.150639 0.150911 -0.635726 
0 354 1033 2126 584.5 2946 2918.5 3030 4058 3701.5 0.161672 0.229913 -0.594186 
0 654 634.5 910.5 352.5 1515 1381.5 1564.5 3328.5 2413.5 0.249227 0.263443 -0.679788 
0 46.5 369 707 200.5 1213 1220.5 1339 1891 1442.5 0.263542 0.210054 -0.673451 
0 184 735 1470 391 2408 2197 2389 3551 2751 0.241877 0.345732 -0.657023 
0 311.5 830 1594 423 2831 2594 2778.5 4265 3532 0.279548 0.464061 -0.67419 
0 831 1742 2744 1076 3392 3323 3390 4777 4176 0.105606 0.151033 -0.465562 
0 201 532 734 334 1648 1361 1532 2197 1695 0.383711 0.492255 -0.610114 
0 509 896 1126 661 2040 1827 1969 3640 2897 0.288692 0.479401 -0.604938 
0 429 1042 1822 590 2458 2248 2387 3786 2996 0.148598 0.185328 -0.568351 
0 378 912 1986 482 2580 2536 2671 4652 3649 0.130092 0.139302 -0.672178 
0 342.5 1091 2599 564 3164 3089 3217 5054 3971 0.098039 0.090351 -0.644915 
0 335 1023 1868 533 2522 2324 2466 3541 3031 0.148975 0.181781 -0.551709 
0 151 637 1228 332 1848 1604 1749 2932 2591 0.20156 0.21728 -0.643037 
0 282 598.5 979 366 1619 1552.5 1669.5 2717.5 2292.5 0.246343 0.274514 -0.639023 
0 261 532 931 333 1362 1508 1545 2375 2031 0.187963 0.151776 -0.633987 
0 477 738 948 605 1356 1163 1283 2751 2105 0.177083 0.177075 -0.576956 
0 234 678 1406 376 2102 2099 2207 3230 2812 0.198404 0.237306 -0.65302 
0 374 1030 2408 565 2980 2985 3059 4293 3776 0.106162 0.105097 -0.613 
0 358 994 2030 587 2728 2645 2734 3816 3339 0.1467 0.189889 -0.586694 
0 147 749.5 565 307 3948 3370.5 3942.5 2273.5 1347 0.749612 1.917133 -0.504135 
0 335 949 1420 558 2362 2144 2301 3067 2375 0.249075 0.392295 -0.52739 
0 337 785 1682 431 2470 2244 2370 3376 2852 0.189788 0.250735 -0.622687 
0 391 857 1188 496 1906 1863 2012 2637 2028 0.232062 0.306077 -0.509445 
0 779 1148 1274 791 2592 2193 2436 3429 2821 0.340921 0.715454 -0.498361 
0 193.5 892.5 1076 452 2561 2145 2425 3082.5 2120.5 0.408304 0.741527 -0.550943 
0 516 649 1230 319 1792 1861 1933 2902 2623 0.18597 0.184946 -0.634469 
0 281 754 1100 457 2062 2001 2155 2621 2214 0.304238 0.453157 -0.553185 
0 515.5 1092 1458 679.5 2385 2092 2253.5 3317 2691 0.241218 0.404844 -0.50465 
0 314 918 1468 509 2642 2466 2626 3163 2541 0.285645 0.484231 -0.55011 
0 266 742 1694 401 1932 1960 1915 3654 2586 0.065637 -0.005225 -0.66242 
0 292 837.5 971.5 531 2602 2087 2337.5 2303 1471 0.456275 0.90272 -0.466645 
0 474 1015 1136 707.5 2474 2157.5 2363 3173.5 2421.5 0.370637 0.747448 -0.51534 
0 139.5 431.5 854 220.5 1520 1356 1548 2468.5 1975 0.280539 0.283859 -0.702414 
0 143 430 563 281.5 1279 1056 1202.5 1856.5 1398.5 0.388708 0.398208 -0.623879 
0 459.5 903 1124 588 2507 2395.5 2571 2756 2099.5 0.380887 0.724884 -0.506423 
0 332 963 1878 521 2806 2623 2755 3692 3076 0.198121 0.298223 -0.586251 
0 486 871 1466 594 1914 1896 2006 2712 2372 0.132544 0.131287 -0.513815 
0 151 343 277 189 2246 1702 1993 1215 546 0.78042 1.307852 -0.559692 
0 287.5 585 1313 348 1482 1726 1695.5 4707 3694 0.060465 -0.02674 -0.778912 
0 289.5 975.5 2265 508.5 3393 3404 3579 5780 4959 0.199364 0.322358 -0.711198 
0 562 1392 2301 860 3011 2675 2836.5 4347 3620.5 0.13366 0.197311 -0.514898 
0 414 692 745 487 2038 1851 2116 2876 2255 0.464607 0.791742 -0.612108 
