class,coastal,green,red,blue,nir,red_edge1,red_edge2,red_edge3,swir1,swir2,NDVI,LAI,MNDWI
1,816,1336,1804,896,2562,2153,2370,2507,3962,3223,0.173614278435707,0.293383002281189,-0.495658755302429
1,627.5,1103,1548,769.5,2126,1766.5,1966.5,2080.5,3645,3060.5,0.157321706414223,0.216212958097458,-0.53538328409195
1,674.5,1239,1742,895,2563,2054.5,2180,2394,4245,3327,0.190708488225937,0.337509602308273,-0.548140048980713
1,308,832.5,1386,456,2358,1723,2061.5,2227,3525,2904,0.259615361690521,0.391547828912735,-0.617900133132935
1,662,1050,1342,782.5,2186,1667.5,1969,2093,4088.5,3242,0.239229008555412,0.413271933794022,-0.59132045507431
1,701,1424,2004,1027.5,2748,2286.5,2434,2583.5,4052.5,3112.5,0.156565681099892,0.276326686143875,-0.47995987534523
1,559,1220,1584,875,2010,1812,1859,1963,4150,3248,0.11853089928627,0.139711320400238,-0.545623779296875
1,755,1266,1722,922,2386,2323,2292,2539,4594,3725,0.161635860800743,0.262046813964844,-0.567918121814728
1,771.5,1288,1835,974.5,2678,2143,2276,2458.5,4544.5,3599,0.186793684959412,0.347524046897888,-0.558336853981018
1,538,1469,2240,1037,3144,2543.5,2687,2942.5,4318.5,2834.5,0.167904868721962,0.316779375076294,-0.492354184389114
1,721.5,1159,1504,942.5,1977,1668,1762,1889,3325.5,2830,0.13588048517704,0.189077824354172,-0.483108431100845
1,555.5,1254,1834,905,2645,2113,2250,2471.5,4393,3360,0.181067168712616,0.31704393029213,-0.555870354175568
1,687,1338,1808,1028,2416,2083,2150,2317,3968,3403,0.143939390778542,0.235565632581711,-0.495665282011032
1,856,1538,1940,1194,2784,2217,2464,2616,4238,3778,0.17866213619709,0.375501841306686,-0.467451483011246
1,875.5,1377,1800,1075,2389,2115,2192,2348.5,4143.5,3459.5,0.140606343746185,0.234196811914444,-0.501132190227509
1,756,1388,1823,1088,2321,2086,2123,2250,4121,3394.5,0.120173737406731,0.180325001478195,-0.496097296476364
